"Species","Long","Lat","BasisOfRecord","WAM.ID","Accuracy.m","DataProvider","Datum","Day","Month","Year","Database","SiteName","Collector","MethodOfCapture","ApproximateLocation","ReturnID","LicenceNo","Certainty","RecordID"
"Dasyurus hallucatus",120.117014,-20.881435,"Cage/Elliot/Unspecified Trap",NA,10,"PILBTFAUNA","GDA94",25,6,2016,"NatureMap","Yarrie Station","DPaW - NQP","Cage/Elliot/Unspecified Trap",NA,NA,NA,"Certain","Record_2495"
"Dasyurus hallucatus",118.9265,-20.45622,"Camera Trap or Video",NA,10,"PILBTFAUNA","GDA94",20,7,2015,"NatureMap","Poondano","DPaW - NQP","Remote camera",NA,NA,NA,"Certain","Record_2498"
"Dasyurus hallucatus",117.2533,-21.33541,"Camera Trap or Video",NA,10,"PILBTFAUNA","GDA94",11,9,2014,"NatureMap","Millstream National Park","DPaW - NQP","Remote camera",NA,NA,NA,"Certain","Record_2499"
"Dasyurus hallucatus",116.8727,-20.43739,"Camera Trap or Video",NA,10,"PILBTFAUNA","GDA94",15,6,2015,"NatureMap","Dolphin Island","DPaW - NQP","Remote camera",NA,NA,NA,"Certain","Record_2500"
"Dasyurus hallucatus",117.954316,-21.182592,"Cage/Elliot/Unspecified Trap",NA,10,"PILBTFAUNA","GDA94",10,9,2014,"NatureMap","Mallina Station","DPaW - NQP","Cage/Elliot/Unspecified Trap",NA,NA,NA,"certain","Record_2501"
"Dasyurus hallucatus",118.582306,-20.876315,"Cage/Elliot/Unspecified Trap",NA,10,"PILBTFAUNA","GDA94",26,8,2014,"NatureMap","Indee Station","DPaW - NQP","Cage/Elliot/Unspecified Trap",NA,NA,NA,"certain","Record_2502"
"Dasyurus hallucatus",116.830615,-20.489358,"Cage/Elliot/Unspecified Trap",NA,10,"PILBTFAUNA","GDA94",7,10,2015,"NatureMap","Dolphin Island","DPaW - NQP","Cage/Elliot/Unspecified Trap",NA,NA,NA,"Certain","Record_2503"
"Dasyurus hallucatus",118.5883,-20.84055,"Camera Trap or Video",NA,10,"PILBTFAUNA","GDA94",2,6,2015,"NatureMap","Indee station","DPaW - NQP","Remote camera",NA,NA,NA,"Certain","Record_2508"
"Dasyurus hallucatus",117.2525,-21.33636,"Camera Trap or Video",NA,10,"PILBTFAUNA","GDA94",20,8,2014,"NatureMap","Millstream National Park","DPaW - NQP","Remote camera",NA,NA,NA,"Certain","Record_2509"
"Dasyurus hallucatus",117.918785,-21.772784,"Camera Trap or Video",NA,10,"PILBTFAUNA","GDA94",9,5,2013,"NatureMap","Mt Florance Station","DPaW - NQP","remote camera",NA,NA,NA,"certain","Record_2511"
