"id","pop","lat","lon","Sex","Year","IBRA_SubRegion","Original_id","UTMX","UTMY","CoordLocation","Buffer_1km","Buffer_2km","Buffer_5km","Buffer_10km","Buffer_15km","Buffer_20km"
"Dh_16.092","Mt Florance Station",-21.77271802,117.920635,"F",2015,"Chichester","16-092",595182.39071264,7592045.95992832,45,21,14,14,11,10,6
"Dh_16.093","Dolphin Island",-20.48935804,116.830616,"M",2015,"Roebourne","16-093",482336.9262775,7734355.68556827,46,73,48,39,29,19,14
"Dh_16.098","Quoll knoll",-22.0966,119.2371,"M",2015,"Chichester","16-098",730800.971112737,7554785.18316677,47,7,7,7,4,4,3
"Dh_16.100","Quoll knoll",-22.09745,119.23656,"M",2014,"Chichester","16-100",730743.856010748,7554691.86608982,48,7,7,7,4,4,3
"Dh_16.103","Quoll knoll",-22.09662,119.23706,"F",2014,"Chichester","16-103",730796.810261545,7554783.02886746,49,7,7,7,4,4,3
"Dh_16.105","Pannawonica Yarraloola",-21.84405,116.086406,"F",2015,"Hamersley","16-105",405592.385329063,7584154.28447031,50,17,17,9,10,9,5
"Dh_16.111","Pannawonica Yarraloola",-21.78438999,116.1496599,"M",2015,"Hamersley","16-111",412092.761861252,7590795.63503777,51,19,17,9,10,9,5
"Dh_16.112","Pannawonica Yarraloola",-21.75297981,116.0165271,"F",2015,"Hamersley","16-112",398306.582257577,7594190.82657306,52,22,15,9,10,9,5
"Dh_16.114","Pannawonica Yarraloola",-21.77173994,116.1592249,"M",2015,"Hamersley","16-114",413074.00924527,7592201.30679989,53,19,17,9,10,9,5
"Dh_16.143","Red Hill Chichester",-21.14653,116.21612,"M",2015,"Roebourne","16-143",418610.166651174,7661434.48338261,54,51,32,26,22,16,12
"Dh_16.145","Red Hill Chichester",-21.14635,116.21632,"M",2015,"Roebourne","16-145",418630.835195367,7661454.50869726,55,51,32,26,22,16,12
"Dh_16.146","Red Hill Chichester",-21.08828,116.25264,"M",2015,"Roebourne","16-146",422371.882438001,7667899.94938363,56,54,38,26,22,16,12
"Dh_16.148","Red Hill Chichester",-21.15287,116.25345,"M",2015,"Roebourne","16-148",422489.586807394,7660751.43800311,57,50,32,26,22,16,12
"Dh_16.149","Red Hill Chichester",-21.19321,116.23553,"F",2015,"Chichester","16-149",420650.483272548,7656277.6589637,58,42,30,26,22,16,12
"Dh_16.150","Red Hill Chichester",-21.14635,116.21632,"M",2015,"Roebourne","16-150",418630.835195367,7661454.50869726,55,51,32,26,22,16,12
"Dh_16.152","Red Hill Chichester",-21.14582,116.21691,"M",2015,"Roebourne","16-152",418691.808239279,7661513.47253005,59,51,32,26,22,16,12
"Dh_16.155","Red Hill Chichester",-21.14934,116.21376,"M",2015,"Roebourne","16-155",418366.657568886,7661122.25440001,60,51,32,26,22,16,12
"Dh_16.156","Red Hill Chichester",-21.14934,116.21376,"M",2015,"Roebourne","16-156",418366.657568886,7661122.25440001,60,51,32,26,22,16,12
"Dh_16.158","Red Hill Chichester",-21.19684,116.25483,"F",2015,"Chichester","16-158",422655.735332288,7655885.42423283,61,41,30,26,22,16,12
"Dh_16.159","Red Hill Chichester",-21.08626,116.25597,"F",2015,"Roebourne","16-159",422716.738704479,7668125.14456236,62,54,38,26,22,16,12
"Dh_16.183","Karratha Roeburn",-20.734817,116.846368,"M",2015,"Roebourne","16-183",484005.163029546,7707192.84368961,63,63,41,31,26,19,14
"Dh_16.200","Callawa",-20.68144,120.30688,"M",2013,"Chichester","16-200",844548.590181444,7709593.31632444,64,65,43,33,27,18,13
"Dh_16.203","Callawa",-20.68071,120.30811,"F",2013,"Chichester","16-203",844678.504576276,7709671.58834378,65,65,43,33,27,18,13
"Dh_16.207","Nimingarra",-20.39181,120.03847,"M",2013,"McLarty","16-207",817159.370302639,7742227.85686062,66,74,50,40,27,18,13
"Dh_16.229","Pannawonica Red Hill",-22.013848,116.533176,"M",2014,"Hamersley","16-229",451818.326215596,7565566.68768118,67,12,9,12,8,6,5
"Dh_16.230","Pannawonica Yarraloola",-21.79902,116.159946,"M",2014,"Hamersley","16-230",413164.998688827,7589182.03414687,68,19,17,9,10,9,5
"Dh_16.231","Pannawonica Yarraloola",-21.786242,116.134639,NA,2014,"Hamersley","16-231",410540.981296859,7590582.00234894,69,19,17,9,10,9,5
"Dh_16.233","Pannawonica Yarraloola",-21.797111,116.159415,"M",2014,"Hamersley","16-233",413108.955942678,7589393.04610545,70,19,17,9,10,9,5
"Dh_16.236","Pannawonica Yarraloola",-21.797203,116.159628,"F",2014,"Hamersley","16-236",413131.030313642,7589382.98239184,71,19,17,9,10,9,5
